Products.status,Products.vendor,Products.list_price,Products.price,Products.cost,Products.Shop_Brn
0.0,1.0,24.35,17.39,11.22,1
3.0,2.0,1820.0,736.25,589.0,0
0.0,1.0,121.68,74.27,52.32,0
0.0,2.0,380.34,155.44,122.39,0
0.0,2.0,1482.03,473.75,379.0,0
0.0,1.0,48.36,34.54,23.82,1
0.0,2.0,153.37,60.4,44.74,0
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,65.7,46.93,34.01,1
0.0,1.0,57.96,41.4,30.0,1
0.0,1.0,39.07,27.91,19.25,1
0.0,1.0,75.33,53.81,38.99,1
0.0,1.0,75.33,53.81,38.99,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,75.33,53.81,38.99,1
0.0,1.0,75.33,53.81,38.99,1
0.0,1.0,75.33,53.81,38.99,1
0.0,1.0,72.95,52.11,37.76,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,75.33,53.81,38.99,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,75.33,53.81,38.99,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,75.33,53.81,38.99,1
